"","Centre_cat","theta_MAT","Level_MAT","theta_READ","Level_READ","Region","Age","Gender","Centre_type","Context","strat","E6F1","E6F2","E6F6a","E6F15","E6F16","E6F7","E6F8","E6F9","E6F10","E6F11","E6F12","E6F13","E6F14","E6F17","E6F18","E6F18a","E6F19a","E6F19","E6F20","E6F21","E6F3","E6F4","E6F5a","E6F22","E6F22a_5","E6F22a_1","E6F22a_2","E6F22a_3","E6F22a_4","E6F26a","E6F26","E6F25","E6F25a","E6F25a_1","E6F25a_3_1","E6F25a_3_2","E6F25a_3_3","E6F25a_3_4","E6F25a_3_5","E6CF25a_2_1","E6CF25a_2_2","E6CF25a_2_3","E6CF25a_2_4","E6CF25a_2_5","E6Co1","E6Co2_1","E6Co2_2","E6Co2_3","E6Co2_4","E6Co2_5","E6Co2_6","E6Co2_7","E6Co2_8","E6Co2_9","E6Co3","E6Co4","E6Co5","E6Co6_1","E6Co6_2","E6Co6_3","E6Co6_4","E6Co6_5","E6Co6_6","E6Co7_1","E6Co7_2","E6Co7_3","E6Co7_4","E6Co8_1","E6Co8_2","E6Co8_3","E6Co8_4","E6Co9_1","E6Co9_2","E6Co9_3","E6Co9_4","E6Co9_5","E6Co9_6","E6C47c_1","E6C47c_3","E6C47c_6","E6C47c_7","E6C47c_8","E6C47c_11","E6C47c_12","E6C47c_9","E6C47c_13","E6Co10_1","E6Co10_2","E6Co10_3","E6Co10_4","E6Co11","E6Co12_1","E6Co12_2","E6Co12_3","E6Co12_4","E6F34_1","E6F34_2","E6F34_3","E6F34_4","E6F34_5","E6F34_6","E6C36_1","E6C36_2","E6C36m_6","E6C36m_7","E6C36a_8","E6F37_1","E6F37_2","E6F37_3","E6C42a","E6C40m_1","E6C40m_2","E6C40m_3","E6C40m_4","E6C40m_5","E6C44m_1","E6C44m_2","E6C44m_3","E6C46a_2","E6C46m_1","E6C46a_3","E6C46m_4","E6C43a","E6C43","E6C48_1","E6C48_2","E6C48_3","E6C48_4","E6C48_5","E6C42_1","E6C42_2","E6C42_3","E6C42_4","E6C42_5","E6F32","E6F33","Attendance","ES1_1","ES1_2","ES1_3","ES1_4","ES1_5","ES1_6","ES3_1","ES3_2","ES3_3","ES3_4","ES3_5","ES2_1","ES2_2","ES2_3","ES2_4","ES4_1","ES4_2","ES4_3","ES4_4","ES4_5","ES5_1","ES5_2","ES5_3","ES5_4","ES5_5","ES6_1","ES6_2","ES6_3","ES6_4","ES6_5","ES6_6","ES7_1","ES7_2","ES7_3","ES7_4","ES7_5","ES8_1","ES8_2","ES8_3","ES8_4","ES8_5","ES8_6","BE1_1","BE1_2","BE1_3","BE1_4","BE1_5","BE1_6","BE1_7","BE1_8"
"1","Q2",-0.834550981100357,"2",-0.956485588784932,"2","Montevideo",12,"M","Aprender","Urbano Quintil 2","4","1","3","2","5","3","1","2","2","2","2","2","2","2","1","1","2","1","1","1","1","2","1","96","5","1","3","3","4","1","2","1","2","2","1","0","1","0","0","0","0","0","1","0","0","1","0","0","1","0","1","0","0","0","0","2","1","2","1","2","2","2","1","2","1","1","2","2","2","2","3","3","1","1","1","1","2","3","2","2","2","1","2","2","2","2","2","2","2","4","4","2","1","1","4","3","4","3","2","4","3","4","4","3","4","4","4","3","4","4","1","3","3","3","3","4","4","4","4","4","1","1","1","2","96","4","4","1","1","2","4","2","4","4","4","1","96","regularly","4","2","4","4","3","4","3","2","4","2","3","3","4","2","2","2","1","3","1","1","2","1","4","3","4","4","4","4","1","2","2","2","3","4","2","1","2","3","1","4","1","1","4","3","4","3","2","3","1","4"
"2","Q2",-0.483368656226587,"2",-0.121854922826589,"4","Montevideo",12,"F","Aprender","Urbano Quintil 2","4","2","3","1","4","3","2","2","2","2","1","2","2","2","1","1","1","2","1","1","4","2","1","96","4","3","4","3","1","1","2","1","1","2","2","96","96","96","96","96","0","1","1","0","0","1","1","1","0","0","1","0","0","0","0","2","1","2","2","2","2","2","2","1","2","2","2","1","1","1","1","2","2","1","1","1","1","4","2","2","2","2","2","2","2","2","2","3","4","2","4","2","4","3","2","3","2","3","3","4","3","2","3","3","4","4","1","3","4","4","2","1","1","3","2","4","1","3","4","1","1","1","3","1","4","1","3","3","4","2","4","4","4","4","4","1","96","regularly","4","3","4","3","4","4","3","4","3","4","3","4","3","2","1","1","2","1","3","1","3","4","3","4","4","3","4","4","3","3","3","4","3","4","3","4","3","1","3","1","2","1","3","1","3","4","3","4","4","3"
"4","Q3",0.0460747508823996,"3",-1.45123265259098,"2","Montevideo",11,"F","UC","Urbano Quintil 4","4","2","2","3","5","3","1","2","2","2","2","1","2","2","1","1","2","2","1","1","1","4","1","96","5","1","3","4","3","1","2","1","2","2","1","0","0","0","0","1","0","0","1","0","0","1","0","0","1","0","0","0","0","0","0","1","1","3","1","2","2","2","1","2","1","1","2","2","4","2","2","2","2","1","1","2","4","4","2","1","1","1","2","2","2","1","2","4","4","4","4","3","2","4","2","2","2","2","2","2","2","2","3","2","4","4","4","4","4","4","2","2","2","1","2","2","2","4","4","1","3","2","2","1","1","2","3","2","2","2","4","4","4","4","2","1","96","regularly","3","4","3","3","3","4","4","4","3","3","4","3","4","2","3","1","1","2","1","1","4","3","4","3","3","3","3","2","2","4","3","3","4","4","3","3","2","3","3","1","1","1","4","4","4","4","4","4","4","4"
"5","Q2",0.126303503243417,"3",1.06513477792032,"5","Montevideo",12,"M","Aprender","Urbano Quintil 2","2","1","3","2","6","2","1","1","2","2","2","2","1","1","1","1","1","2","1","1","1","2","1","96","3","3","3","1","2","1","3","1","2","1","1","0","0","1","0","1","1","0","0","0","0","1","0","0","1","0","0","0","0","0","1","2","1","2","1","1","1","2","2","2","1","1","1","1","3","1","1","1","4","2","1","4","4","4","2","2","1","1","2","2","2","2","2","3","2","3","4","1","4","4","3","3","4","4","4","4","4","3","4","4","4","4","2","4","4","4","1","4","1","4","4","4","1","4","4","1","1","1","1","1","1","1","4","2","4","3","4","4","4","4","3","1","96","little (every week is a few days away)","4","4","4","4","3","4","4","4","3","3","4","2","4","3","2","2","2","1","1","1","2","4","4","4","4","4","3","2","4","4","1","3","3","1","2","3","2","1","2","2","1","1","4","4","4","4","1","4","1","3"
"6","Q5",0.79529391448432,"4",4.01365133293302,"6","Montevideo",12,"F","UC","Urbano Quintil 5","3","2","3","2","2","1","1","2","2","2","2","2","2","2","1","1","1","2","1","2","2","4","2","1","5","1","3","1","2","1","3","1","1","1","1","0","1","0","0","0","0","0","1","0","0","1","0","1","0","1","0","0","0","0","1","1","1","1","1","1","1","2","1","2","2","1","2","2","3","3","3","4","3","3","2","3","4","4","2","1","1","1","1","1","2","1","2","4","4","4","4","1","2","1","1","4","4","3","3","4","4","3","4","4","4","4","4","4","4","4","1","2","2","2","2","2","4","4","4","3","2","1","1","1","1","4","4","3","3","3","4","4","4","4","4","1","96","regularly","1","1","3","3","4","4","4","3","3","2","4","2","3","2","1","1","1","1","4","2","4","3","4","4","4","3","2","1","2","4","3","2","1","1","2","2","3","2","3","2","4","3","3","2","2","4","4","4","3","2"
"7","Q5",3.18109993469193,"5",1.71816811150187,"6","Montevideo",11,"F","PRIVADO","PRIVADO","1","2","2","1","4","2","1","1","2","2","2","2","2","2","1","1","1","2","1","2","2","3","1","96","3","1","3","1","1","1","2","1","1","1","1","1","1","1","0","0","1","0","0","0","0","2","96","96","96","96","96","96","96","96","96","1","1","2","1","1","1","2","1","1","2","1","1","2","4","2","2","3","4","3","2","3","4","4","2","2","1","1","2","2","2","1","2","4","4","4","3","3","1","1","2","1","2","3","2","2","3","2","4","3","3","3","3","4","3","3","1","2","2","3","2","3","2","3","4","1","3","1","2","2","96","3","3","2","3","2","4","3","3","4","4","1","96","regularly","3","2","2","3","3","4","3","1","1","2","3","2","3","2","2","3","3","4","3","2","3","2","3","4","3","1","2","1","3","3","1","2","1","2","3","2","4","3","2","3","4","3","2","2","1","3","1","3","2","2"
"8","Q5",0.169035095992373,"3",0.785756017365973,"5","Montevideo",11,"M","UC","Urbano Quintil 5","4","1","2","1","4","2","1","1","2","2","2","2","2","2","1","1","1","2","1","1","1","2","1","96","6","1","3","4","4","1","2","1","1","3","2","96","96","96","96","96","0","1","0","0","0","1","0","0","0","0","1","0","0","0","1","1","1","1","1","1","2","2","2","1","2","1","2","2","4","2","2","3","3","4","2","4","4","4","2","2","1","1","2","2","2","1","2","4","4","3","4","2","3","3","4","4","3","4","4","4","2","3","4","4","4","4","3","4","3","3","2","2","2","2","1","4","2","3","4","1","3","3","1","2","96","3","3","2","3","2","4","4","4","4","3","1","96","regularly","3","4","4","3","3","3","3","2","2","4","3","3","3","1","1","1","2","1","1","2","4","3","3","4","3","4","4","3","3","4","4","1","3","4","2","4","3","1","1","2","2","2","4","3","4","3","4","4","4","3"
"9","Q1",-0.158650065626308,"3",0.688611893429456,"5","Montevideo",12,"F","Aprender","Urbano Quintil 2","3","2","3","3","5","3","1","2","2","2","2","2","2","2","1","1","1","2","1","1","3","4","1","96","5","1","3","4","1","1","3","1","2","1","1","0","1","0","0","0","0","0","1","0","0","1","0","1","0","0","0","0","0","0","0","2","1","1","2","2","2","1","1","1","1","1","2","2","1","1","1","1","1","1","1","1","3","3","1","2","2","1","2","2","2","2","2","4","4","4","4","2","3","2","3","2","2","2","1","2","2","1","4","4","3","3","2","3","4","4","2","3","2","3","3","1","2","2","4","2","3","1","1","2","96","2","3","2","3","3","4","3","3","3","3","1","96","regularly","3","4","3","4","4","4","4","3","2","4","3","4","4","4","2","3","2","2","1","1","4","4","4","4","4","4","3","2","1","3","1","3","3","4","3","4","2","3","1","1","2","1","3","4","4","3","1","4","1","4"
"10","Q4",-0.19183693980779,"3",0.222036332200296,"4","Montevideo",12,"M","UC","Urbano Quintil 5","4","1","3","1","8","5","1","1","2","2","2","2","2","2","1","1","2","1","1","1","1","2","1","96","6","1","2","1","1","4","2","1","1","2","2","96","96","96","96","96","1","0","0","0","0","1","0","1","0","0","1","1","0","0","1","2","1","2","1","2","2","2","1","2","1","1","2","2","1","2","2","2","2","3","1","1","1","4","2","2","1","2","2","2","2","2","2","4","4","2","4","2","1","2","3","3","3","3","2","3","3","3","3","3","2","2","1","3","2","3","2","2","2","2","2","3","2","3","4","2","3","1","1","2","96","2","3","2","3","2","3","4","3","3","1","1","96","regularly","2","3","3","3","4","3","4","3","2","3","3","2","3","1","3","1","1","1","3","2","3","4","4","3","4","2","2","3","2","3","1","2","3","2","2","1","3","3","3","3","3","3","3","2","2","3","2","3","1","2"
"11","Q3",-1.58933488715763,"1",-0.222272600702991,"3","Interior",12,"F","PR-HP","Urbano Quintil 4","4","2","3","1","4","2","1","1","2","2","2","2","1","1","1","1","2","2","1","1","2","3","1","96","5","1","3","2","4","1","2","1","1","1","1","1","0","0","0","0","0","1","0","0","0","1","0","0","0","0","1","0","0","0","0","1","1","1","1","1","2","2","1","2","2","2","1","2","2","2","3","2","4","4","3","3","3","3","1","1","1","1","1","2","1","1","2","1","1","3","2","1","2","2","1","1","2","3","1","2","1","2","3","4","4","4","4","4","4","4","1","2","2","3","3","3","2","3","3","1","3","2","2","2","96","3","3","3","4","3","2","2","2","1","1","1","96","very little (approx. once every 15 days)","4","4","4","4","4","4","4","3","3","4","4","3","4","2","2","1","1","1","2","2","4","4","4","4","4","3","2","3","4","4","2","3","2","3","4","3","1","1","1","1","2","1","4","4","2","3","2","3","2","1"
